date,ward,zone,subzone,occupancy,main_category,sub_category,tax_code,floor,building_type,fsi_factor,fsi,sddr_rate,age_of_building,metered_unmetered,carpet_area,capital_value,total_tax
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Golf course LND 12,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Golf course LND 12,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Airport - land (a) Land used for movement and parking of air craft including runway and taxing bay LND 13,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Airport - land (a) Land used for movement and parking of air craft including runway and taxing bay LND 13,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Land - residential LND 01,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Land - residential LND 01,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Land of open air theatre LND 17,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Land of open air theatre LND 17,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Race course (a) Land occupied by racing track LND 10,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Race course (a) Land occupied by racing track LND 10,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Open air electric sub-station LND 06,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Open air electric sub-station LND 06,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Open land of rehabilitation units available under various redevelopment projects approved by State Govt/ MHADA/MMRDA/ MCGM LND 31,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Open land of rehabilitation units available under various redevelopment projects approved by State Govt/ MHADA/MMRDA/ MCGM LND 31,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Open land under reservation (b) Total impermissiblity LND 05,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Open land under reservation (b) Total impermissiblity LND 05,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Airport - land (b) Any land other than the land covered by entry (a) LND 14,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Airport - land (b) Any land other than the land covered by entry (a) LND 14,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Salt pan LND 07,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Salt pan LND 07,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Race course (b) Land other than the land of racing track LND 11,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Race course (b) Land other than the land of racing track LND 11,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Land of stadium where tickets are sold for entry LND 16,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Land of stadium where tickets are sold for entry LND 16,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Land around weigh bridge LND 09,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Land around weigh bridge LND 09,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Open land under reservation (a) Partial impermissiblity LND 04,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Open land under reservation (a) Partial impermissiblity LND 04,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Land covered by Oil Tank LND 22,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Land covered by Oil Tank LND 22,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Area of land covered by Oil Tank(Oil Tank Above Ground) LND 36,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Area of land covered by Oil Tank(Oil Tank Above Ground) LND 36,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,"Land of petrol pump / service station / LPG, CNG station / kerosene station LND 19",N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,"Land of petrol pump / service station / LPG, CNG station / kerosene station LND 19",N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Land around Oil Tank(Oil Tank below ground) LND 37,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Land around Oil Tank(Oil Tank below ground) LND 37,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Land- non residential (a) Commercial LND 02,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Land- non residential (a) Commercial LND 02,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Area of land covered by Oil Tank(Oil Tank Below Ground) LND 38,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Area of land covered by Oil Tank(Oil Tank Below Ground) LND 38,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Land covered with dilapidated structures not capable for habitation till issuance of IOD LND 33,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Land covered with dilapidated structures not capable for habitation till issuance of IOD LND 33,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Water reservoir LND 20,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Water reservoir LND 20,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Land of stadium where no tickets are sold for entry LND 15,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Land of stadium where no tickets are sold for entry LND 15,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Open land not built upon till issuance of IOD LND 32,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Open land not built upon till issuance of IOD LND 32,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Amusement park LND 18,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Amusement park LND 18,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Unmetered,50,N/A,N/A
24/06/2022,C,1,0001,Self Occupied (3001),LAND,Land- non residential (b) Industrial LND 03,N/A,N/A,N/A,Admissible,N/A,N/A,N/A,Metered,50,N/A,N/A
